ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
6122,Bayu Pasaribu,Visual Communication Design,2023,Branding Consultant,Ogilvy Indonesia,"Illustration, Figma, Visual Branding",Marketing Visual Assets,"Google UX Design, Typography Masterclass",puma_visual_communication_design | pusc,alumni jurusan visual communication design berkarir sebagai branding consultant di ogilvy indonesia  ahli dalam illustration  figma  visual branding
6123,Mega Utama,Accounting,2020,Internal Auditor,Ernst & Young,"Taxation, IFRS, Data Analysis for Accounting",Cost Reduction Analysis,QuickBooks ProAdvisor,puma_accounting | fpci,alumni jurusan accounting berkarir sebagai internal auditor di ernst   young  ahli dalam taxation  ifrs  data analysis for accounting
6124,Tia Manullang,Chemical Engineering,2020,Petrochemical Specialist,Unilever,"Chemical Kinetics, Safety Management, Process Simulation",Pilot Plant Design,Six Sigma Green Belt,accounting_club | moot_court,karir di bidang petrochemical specialist dengan latar belakang pendidikan chemical engineering dan aktif di accounting club   moot court
6125,Eko Nugroho,Civil Engineering,2020,Transportation Engineer,PLN,"Estimation, BIM (Revit), Construction Safety",Green Building Design,"AutoCAD Civil 3D Certified, Revit Structure Fundamentals",puma_civil_engineering | pusc,karir di bidang transportation engineer dengan latar belakang pendidikan civil engineering dan aktif di puma civil engineering   pusc
6126,Yoga Utama,Environmental Engineering,2020,Sustainability Specialist,Ruangguru,"EIA (Environmental Impact Assessment), GIS, Compliance",Site Contamination Assessment,"HSE Training Certificate, ISO 14001 Lead Auditor",puma_environmental_engineering | debate_club,karir di bidang sustainability specialist dengan latar belakang pendidikan environmental engineering dan aktif di puma environmental engineering   debate club
6127,Citra Pasaribu,Industrial Engineering,2019,Ergonomist,Mayora,"Statistical Process Control, Simulation (Arena), Six Sigma",Value Stream Mapping,Certified Quality Engineer (CQE),pufa_engineering | puma_industrial_engineering,profesional industrial engineering dengan spesialisasi statistical process control  simulation  arena   six sigma dan pengalaman proyek value stream mapping
6128,Vina Firdaus,Visual Communication Design,2021,Web Designer,Ruangguru,"User Research, Typography, Figma",Design Thinking Workshop,"Figma UI/UX Essentials, Google UX Design",pufa_social_science_and_education,alumni jurusan visual communication design berkarir sebagai web designer di ruangguru  ahli dalam user research  typography  figma
6129,Imam Permana,Law,2019,Compliance Officer,Unilever,"Legal Research, Litigation, Contract Drafting",Regulatory Compliance Audit,"Certified Information Privacy Professional (CIPP), Legal Research & Writing Certificate",puma_law | moot_court | purtc,alumni jurusan law berkarir sebagai compliance officer di unilever  ahli dalam legal research  litigation  contract drafting
6130,Hani Utama,Industrial Engineering,2023,Supply Chain Analyst,Traveloka,"Logistics, Six Sigma, Lean Manufacturing",Inventory Flow Analysis,"CSCP (Certified Supply Chain Professional), Lean Six Sigma Green Belt",puma_industrial_engineering,alumni jurusan industrial engineering berkarir sebagai supply chain analyst di traveloka  ahli dalam logistics  six sigma  lean manufacturing
6131,Joko Ramadhan,Accounting,2017,Management Trainee Finance,Deloitte,"Audit, Taxation, IFRS",Fraud Examination Case Study,"QuickBooks ProAdvisor, ACCA - Foundational Level",puma_accounting | pudc | pufa_business,profesional accounting dengan spesialisasi audit  taxation  ifrs dan pengalaman proyek fraud examination case study
6132,Nisa Lestari,Actuarial Science,2015,Investment Analyst,Djarum,"Statistics, Probability Theory, R Programming",Life Insurance Pricing Model,SOA Exam FM (Financial Mathematics),puma_actuarial_science,alumni jurusan actuarial science berkarir sebagai investment analyst di djarum  ahli dalam statistics  probability theory  r programming
6133,Yoga Suteja,Marketing,2016,SEO Specialist,Traveloka,"Content Marketing, A/B Testing, Google Analytics",Viral Social Media Campaign,"HubSpot Inbound Marketing, Meta Certified Digital Marketing Associate",puma_marketing | purtc,karir di bidang seo specialist dengan latar belakang pendidikan marketing dan aktif di puma marketing   purtc
6134,Kartika Mahendra,Mechanical Engineering,2022,Maintenance Engineer,PLN,"Supply Chain Optimization, Hydraulics, CATIA",Product Design Optimization,"Project Management Professional (PMP), FEA Software Proficiency",puma_mechanical_engineering | moot_court | pufa_engineering,alumni jurusan mechanical engineering berkarir sebagai maintenance engineer di pln  ahli dalam supply chain optimization  hydraulics  catia
6135,Dewi Lestari,Civil Engineering,2015,Construction Planner,Ruangguru,"BIM (Revit), Construction Safety, AutoCAD Civil 3D",Green Building Design,AutoCAD Civil 3D Certified,pufa_engineering | purtc | fpci,seorang construction planner lulusan civil engineering dengan pengalaman di ruangguru dan sertifikasi autocad civil 3d certified
6136,Vina Sihombing,Management,2016,HR Business Partner,JobStreet,"Employee Relations, Performance Management, Payroll Administration",Diversity & Inclusion Initiative,PHR (Professional in Human Resources),puma_management | pudc | aiesec,profesional management dengan spesialisasi employee relations  performance management  payroll administration dan pengalaman proyek diversity   inclusion initiative
6137,Zara Pasaribu,Chemical Engineering,2016,Quality Assurance Chemist,Djarum,"Process Simulation, Material Science, Chemical Kinetics",Heat Exchanger Network,"OSHA Process Safety Management (PSM), Six Sigma Green Belt",pufa_engineering | accounting_club | debate_club,seorang quality assurance chemist lulusan chemical engineering dengan pengalaman di djarum dan sertifikasi osha process safety management  psm   six sigma green belt
6138,Hani Firdaus,Industrial Engineering,2022,Ergonomist,Shopee,"System Modeling, Simulation (Arena), Logistics",Production Line Optimization,"Ergonomics Assessment Specialist, CSCP (Certified Supply Chain Professional)",pufa_engineering | puma_industrial_engineering | debate_club,seorang ergonomist lulusan industrial engineering dengan pengalaman di shopee dan sertifikasi ergonomics assessment specialist  cscp  certified supply chain professional
6139,Zara Ramadhan,Mechanical Engineering,2023,Design Engineer,Schneider Electric,"Thermodynamics, Finite Element Analysis, CATIA",3D Printing Prototype,FEA Software Proficiency,puma_mechanical_engineering | pudc | pumun,seorang design engineer lulusan mechanical engineering dengan pengalaman di schneider electric dan sertifikasi fea software proficiency
6140,Vina Utama,Law,2017,Litigation Consultant,Mayora,"Regulatory Analysis, Contract Drafting, Moot Court",Anti-Corruption Policy Framework,"International Law Fundamentals, Certified Paralegal (CP)",puma_law | fpci,seorang litigation consultant lulusan law dengan pengalaman di mayora dan sertifikasi international law fundamentals  certified paralegal  cp
6141,Imam Rahman,Accounting,2015,Forensic Accountant,Deloitte,"Audit, Data Analysis for Accounting, Risk Management",Annual Financial Audit,ACCA - Foundational Level,pufa_business,alumni jurusan accounting berkarir sebagai forensic accountant di deloitte  ahli dalam audit  data analysis for accounting  risk management
6142,Joko Lestari,Financial Engineering,2016,Financial Modeler,Unilever,"Financial Modeling, Stochastic Calculus, Data Science",Option Pricing Model,"FMVA (Financial Modeling), CQF (Quantitative Finance)",puma_financial_engineering,alumni jurusan financial engineering berkarir sebagai financial modeler di unilever  ahli dalam financial modeling  stochastic calculus  data science
6143,Dewi Suteja,Environmental Engineering,2021,Environmental Auditor,Bank Mandiri,"Waste Management, Compliance, HSE Standards",Waste-to-Energy Feasibility Study,OSHA 30-Hour General Industry,puma_environmental_engineering | pufa_engineering,karir di bidang environmental auditor dengan latar belakang pendidikan environmental engineering dan aktif di puma environmental engineering   pufa engineering
6144,Galih Hakim,Law,2020,Litigation Consultant,Shopee,"Moot Court, Legal Writing, Corporate Governance",Contract Lifecycle Management,Commercial Contract Management,pufa_social_science_and_education,alumni jurusan law berkarir sebagai litigation consultant di shopee  ahli dalam moot court  legal writing  corporate governance
6145,Putri Anggraini,Law,2016,Legal Counsel,KPK,"Legal Writing, Moot Court, Legal Research",Contract Lifecycle Management,Compliance Training Certificate,puma_law | pudc | aiesec,seorang legal counsel lulusan law dengan pengalaman di kpk dan sertifikasi compliance training certificate
6146,Budi Hakim,Chemical Engineering,2020,Production Engineer,Astra International,"Aspen HYSYS, Chemical Kinetics, Process Simulation",Pilot Plant Design,"Aspen HYSYS User Certification, HSE Certificate",pufa_engineering | pumun,alumni jurusan chemical engineering berkarir sebagai production engineer di astra international  ahli dalam aspen hysys  chemical kinetics  process simulation
6147,Joko Wibowo,Environmental Engineering,2019,HSR Manager,Mayora,"Waste Management, HSE Standards, EIA (Environmental Impact Assessment)",Carbon Footprint Analysis,HSE Training Certificate,pufa_engineering,karir di bidang hsr manager dengan latar belakang pendidikan environmental engineering dan aktif di pufa engineering
6148,Nisa Sihombing,Creative Media,2018,Post-Production Supervisor,Unilever,"Scriptwriting, Sound Design, Animation",Short Film Production,Cinematography Fundamentals,puma_creative_media,alumni jurusan creative media berkarir sebagai post production supervisor di unilever  ahli dalam scriptwriting  sound design  animation
6149,Agus Lestari,Electrical Engineering,2020,R&D Electronics,Telkomsel,"Power Generation, Circuit Design, PLC Programming",IoT Sensor Network,"PLC Programming Fundamentals, Certified Automation Professional (CAP)",pufa_engineering | aiesec | purtc,profesional electrical engineering dengan spesialisasi power generation  circuit design  plc programming dan pengalaman proyek iot sensor network
6150,Bayu Sari,Information Technology,2017,Full Stack Developer,Pertamina,"Microservices, JavaScript, React",Cloud Migration Project,"CompTIA A+, Google IT Support Professional",pufa_computer_science,karir di bidang full stack developer dengan latar belakang pendidikan information technology dan aktif di pufa computer science
6151,Galih Pasaribu,Accounting,2016,Internal Auditor,Bank Mandiri,"Taxation, Cost Accounting, Risk Management",Internal Control Review,CPA (Certified Public Accountant),pufa_business | puma_accounting,alumni jurusan accounting berkarir sebagai internal auditor di bank mandiri  ahli dalam taxation  cost accounting  risk management
6152,Zara Lestari,Electrical Engineering,2021,Automation Engineer,Tokopedia,"MATLAB, PCB Design, PLC Programming",Renewable Energy Integration,"NFPA 70E (Electrical Safety), PLC Programming Fundamentals",puma_electrical_engineering | fpci | pufa_engineering,alumni jurusan electrical engineering berkarir sebagai automation engineer di tokopedia  ahli dalam matlab  pcb design  plc programming
6153,Yoga Firdaus,Civil Engineering,2018,Quantity Surveyor,Telkomsel,"Estimation, BIM (Revit), Construction Safety",Green Building Design,CAPM (Project Management),puma_civil_engineering | pumun | debate_club,alumni jurusan civil engineering berkarir sebagai quantity surveyor di telkomsel  ahli dalam estimation  bim  revit   construction safety
6154,Dewi Sari,Marketing,2018,Digital Marketing Specialist,Edelman,"Social Media Marketing, Content Marketing, SEO/SEM",SEO Audit and Strategy,Google Ads,pudc,karir di bidang digital marketing specialist dengan latar belakang pendidikan marketing dan aktif di pudc
6155,Galih Sari,Law,2019,Corporate Lawyer,Corporate Legal Dept (Unilever),"Litigation, Corporate Governance, Regulatory Analysis",IP Registration Strategy,"Legal Research & Writing Certificate, Commercial Contract Management",puma_law,alumni jurusan law berkarir sebagai corporate lawyer di corporate legal dept  unilever   ahli dalam litigation  corporate governance  regulatory analysis
6156,Hani Sihombing,Electrical Engineering,2016,Electrical Design Engineer,Pertamina,"Power Generation, PCB Design, PLC Programming",PCB Design and Fabrication,"PLC Programming Fundamentals, MATLAB Proficiency",pufa_engineering | accounting_club | moot_court,karir di bidang electrical design engineer dengan latar belakang pendidikan electrical engineering dan aktif di pufa engineering   accounting club   moot court
6157,Imam Gunawan,Communication,2015,Journalist,Ruangguru,"SEO, Crisis Management, Digital Marketing",Social Media Engagement Analysis,Public Relations Society of America (PRSA),puma_communication | pusc | aiesec,karir di bidang journalist dengan latar belakang pendidikan communication dan aktif di puma communication   pusc   aiesec
6158,Indah Mahendra,Communication,2021,Social Media Strategist,Shopee,"Storytelling, Public Relations, Crisis Management",Multimedia Production Series,Google Digital Garage,puma_communication | purtc | debate_club,profesional communication dengan spesialisasi storytelling  public relations  crisis management dan pengalaman proyek multimedia production series
6159,Hani Manullang,Industrial Engineering,2022,Quality Manager,Mayora,"Simulation (Arena), Six Sigma, Lean Manufacturing",Production Line Optimization,"CSCP (Certified Supply Chain Professional), Lean Six Sigma Green Belt",puma_industrial_engineering | debate_club | pufa_engineering,alumni jurusan industrial engineering berkarir sebagai quality manager di mayora  ahli dalam simulation  arena   six sigma  lean manufacturing
6160,Tia Permana,Management,2018,Recruitment Manager,Unilever HR,"Change Management, Payroll Administration, Talent Management",Employee Engagement Survey,"PHR (Professional in Human Resources), Talent Management Practitioner",pufa_business | aiesec | puma_management,alumni jurusan management berkarir sebagai recruitment manager di unilever hr  ahli dalam change management  payroll administration  talent management
6161,Imam Suteja,International Relations,2016,NGO Program Officer,Gojek Marketing,"Foreign Languages, Cross-Cultural Communication, Public Policy",Diplomatic Protocol Handbook,"Public Policy Analysis, Conflict Resolution & Mediation",purtc,karir di bidang ngo program officer dengan latar belakang pendidikan international relations dan aktif di purtc
6162,Galih Utama,Law,2021,Notary Public,Corporate Legal Dept (Unilever),"Legal Research, Contract Drafting, Compliance",Legal Due Diligence,"Legal Research & Writing Certificate, International Law Fundamentals",pufa_social_science_and_education,seorang notary public lulusan law dengan pengalaman di corporate legal dept  unilever  dan sertifikasi legal research   writing certificate  international law fundamentals
6163,Siti Gunawan,Business Administration,2017,Operations Manager,Telkomsel,"CRM, Leadership, Financial Analysis",Business Process Reengineering,HubSpot Inbound Marketing,puma_business_administration | moot_court | pusc,alumni jurusan business administration berkarir sebagai operations manager di telkomsel  ahli dalam crm  leadership  financial analysis
6164,Eko Hakim,Creative Media,2022,Video Editor,Telkomsel,"Sound Design, Animation, Video Production",Short Film Production,"Adobe Premiere Pro Certified, Storytelling for Business",pufa_social_science_and_education | debate_club | pusc,profesional creative media dengan spesialisasi sound design  animation  video production dan pengalaman proyek short film production
6165,Hani Permana,Chemical Engineering,2020,HSE Consultant,Shopee,"Process Control, Safety Management, Material Science",Biofuel Production Process,Chemical Engineering Thermodynamics,puma_chemical_engineering,seorang hse consultant lulusan chemical engineering dengan pengalaman di shopee dan sertifikasi chemical engineering thermodynamics
6166,Eko Pasaribu,Mechanical Engineering,2022,Design Engineer,Tokopedia,"Thermodynamics, Finite Element Analysis, Prototyping",Product Design Optimization,Project Management Professional (PMP),pufa_engineering | pudc,seorang design engineer lulusan mechanical engineering dengan pengalaman di tokopedia dan sertifikasi project management professional  pmp
6167,Putri Saputra,Financial Engineering,2023,Data Analyst (Finance),Deloitte,"Machine Learning, Financial Modeling, C++",Portfolio Optimization Algorithm,FMVA (Financial Modeling),pufa_business,seorang data analyst  finance  lulusan financial engineering dengan pengalaman di deloitte dan sertifikasi fmva  financial modeling
6168,Kartika Suteja,Environmental Engineering,2019,Waste Management Consultant,Djarum,"Water Treatment, Compliance, GIS",Carbon Footprint Analysis,NEBOSH International Certificate,puma_environmental_engineering | aiesec,seorang waste management consultant lulusan environmental engineering dengan pengalaman di djarum dan sertifikasi nebosh international certificate
6169,Kartika Pasaribu,Civil Engineering,2018,Quantity Surveyor,Traveloka,"Construction Safety, Estimation, BIM (Revit)",Construction Budgeting,OSHA 30-Hour Construction,pufa_engineering | pudc,alumni jurusan civil engineering berkarir sebagai quantity surveyor di traveloka  ahli dalam construction safety  estimation  bim  revit
6170,Siti Anggraini,Industrial Engineering,2015,Ergonomist,Ruangguru,"Statistical Process Control, Lean Manufacturing, Logistics",Value Stream Mapping,CSCP (Certified Supply Chain Professional),pufa_engineering | moot_court,karir di bidang ergonomist dengan latar belakang pendidikan industrial engineering dan aktif di pufa engineering   moot court
6171,Budi Manullang,Management,2018,HR Specialist,Michael Page,"Talent Management, Negotiation, Employee Relations",Recruitment Strategy Optimization,"SHRM-CP (Certified Professional), PHR (Professional in Human Resources)",pufa_business | debate_club,profesional management dengan spesialisasi talent management  negotiation  employee relations dan pengalaman proyek recruitment strategy optimization
6172,Kartika Lestari,Applied Mathematics,2015,Quantitative Researcher,Djarum,"Optimization, Modeling, Algorithm Development",Logistics Route Optimization,"Advanced Statistics, SAS Certified Specialist",pufa_computer_science | debate_club | purtc,profesional applied mathematics dengan spesialisasi optimization  modeling  algorithm development dan pengalaman proyek logistics route optimization
6173,Rizky Sari,Information Technology,2017,Web Developer,Astra International,"React, SQL, AWS",Automated Testing Suite,CompTIA A+,puma_information_technology | purtc,profesional information technology dengan spesialisasi react  sql  aws dan pengalaman proyek automated testing suite
6174,Rizky Sihombing,Visual Communication Design,2020,Branding Consultant,Leo Burnett,"Adobe Creative Suite, Illustration, Wireframing",Corporate Identity Manual,"Figma UI/UX Essentials, Design Thinking Certification",moot_court | debate_club | pusc,seorang branding consultant lulusan visual communication design dengan pengalaman di leo burnett dan sertifikasi figma ui ux essentials  design thinking certification
6175,Yoga Lestari,Primary School Teacher Education,2021,Primary School Teacher,Ruangguru,"Lesson Planning, Child Psychology, Pedagogy",School Anti-Bullying Program,Google Certified Educator,pufa_social_science_and_education | debate_club,profesional primary school teacher education dengan spesialisasi lesson planning  child psychology  pedagogy dan pengalaman proyek school anti bullying program
6176,Lina Sari,Primary School Teacher Education,2017,Education Consultant,HighScope Indonesia,"Lesson Planning, Counseling, Classroom Management",Digital Learning Module Creation,Google Certified Educator,pumun,alumni jurusan primary school teacher education berkarir sebagai education consultant di highscope indonesia  ahli dalam lesson planning  counseling  classroom management
6177,Mega Saputra,Business Administration,2016,Office Manager,Mayora,"Financial Analysis, Leadership, Business Strategy",Business Process Reengineering,"FMVA (Financial Modeling), Google Analytics",pufa_business | puma_business_administration,karir di bidang office manager dengan latar belakang pendidikan business administration dan aktif di pufa business   puma business administration
6178,Dewi Saputra,Applied Mathematics,2021,Statistical Consultant,Shopee,"Optimization, Statistical Inference, Algorithm Development",Network Security Algorithm,Optimization & Operations Research,puma_applied_mathematics,profesional applied mathematics dengan spesialisasi optimization  statistical inference  algorithm development dan pengalaman proyek network security algorithm
6179,Citra Anggraini,Primary School Teacher Education,2017,Education Administrator,Binus School,"Child Psychology, Classroom Management, Educational Leadership",Inclusive Classroom Setup,TEFL/TESOL,pufa_social_science_and_education,alumni jurusan primary school teacher education berkarir sebagai education administrator di binus school  ahli dalam child psychology  classroom management  educational leadership
6180,Budi Ramadhan,Chemical Engineering,2019,Food and Pharmaceutical Engineer,Schneider Electric,"Material Science, Safety Management, Chemical Kinetics",Biofuel Production Process,Chemical Engineering Thermodynamics,puma_chemical_engineering | accounting_club,profesional chemical engineering dengan spesialisasi material science  safety management  chemical kinetics dan pengalaman proyek biofuel production process
6181,Nisa Anggraini,Environmental Engineering,2021,Waste Management Consultant,Telkomsel,"EIA (Environmental Impact Assessment), HSE Standards, Compliance",Water Treatment Plant Design,NEBOSH International Certificate,pudc | puma_environmental_engineering,profesional environmental engineering dengan spesialisasi eia  environmental impact assessment   hse standards  compliance dan pengalaman proyek water treatment plant design
6182,Eko Saputra,Law,2019,Compliance Officer,Telkomsel,"Corporate Governance, Contract Drafting, Litigation",IP Registration Strategy,Commercial Contract Management,pufa_social_science_and_education,alumni jurusan law berkarir sebagai compliance officer di telkomsel  ahli dalam corporate governance  contract drafting  litigation
6183,Citra Utama,Actuarial Science,2021,Risk Analyst,Unilever,"Data Analysis, Financial Math, Probability Theory",Life Insurance Pricing Model,SOA Exam FM (Financial Mathematics),pufa_business,seorang risk analyst lulusan actuarial science dengan pengalaman di unilever dan sertifikasi soa exam fm  financial mathematics
6184,Putri Firdaus,Financial Engineering,2017,Data Analyst (Finance),Ernst & Young,"C++, Data Science, Machine Learning",Option Pricing Model,"FMVA (Financial Modeling), Bloomberg Market Concepts",puma_financial_engineering | pusc | moot_court,profesional financial engineering dengan spesialisasi c    data science  machine learning dan pengalaman proyek option pricing model
6185,Yoga Suteja,Industrial Engineering,2023,Process Improvement Consultant,Dentsu,"Logistics, Simulation (Arena), Lean Manufacturing",Supply Chain Network Design,"Lean Six Sigma Green Belt, Certified Quality Engineer (CQE)",puma_industrial_engineering | pudc | aiesec,karir di bidang process improvement consultant dengan latar belakang pendidikan industrial engineering dan aktif di puma industrial engineering   pudc   aiesec
6186,Fitri Mahendra,Information Technology,2022,Cloud Engineer,Astra International,"JavaScript, AWS, Data Structures",Personal Portfolio Website,CompTIA A+,pufa_computer_science | pumun | puma_information_technology,seorang cloud engineer lulusan information technology dengan pengalaman di astra international dan sertifikasi comptia a
6187,Agus Pasaribu,Electrical Engineering,2016,Hardware Designer,Traveloka,"PCB Design, Circuit Design, SCADA",IoT Sensor Network,MATLAB Proficiency,aiesec | accounting_club,karir di bidang hardware designer dengan latar belakang pendidikan electrical engineering dan aktif di aiesec   accounting club
6188,Hani Gunawan,Communication,2021,Brand Strategist,Gojek Marketing,"Copywriting, Storytelling, Content Strategy",Rebranding Campaign,Google Ads Creative Certification,puma_communication | moot_court,profesional communication dengan spesialisasi copywriting  storytelling  content strategy dan pengalaman proyek rebranding campaign
6189,Imam Sihombing,Visual Communication Design,2021,Web Designer,Traveloka,"User Research, Illustration, Figma",Marketing Visual Assets,"Figma UI/UX Essentials, Adobe Certified Professional (ACP)",pufa_social_science_and_education | accounting_club,karir di bidang web designer dengan latar belakang pendidikan visual communication design dan aktif di pufa social science and education   accounting club
6190,Rina Anggraini,Industrial Engineering,2017,Production Planner,Unilever,"Simulation (Arena), System Modeling, Lean Manufacturing",Supply Chain Network Design,"Certified Quality Engineer (CQE), Ergonomics Assessment Specialist",accounting_club | puma_industrial_engineering | pusc,profesional industrial engineering dengan spesialisasi simulation  arena   system modeling  lean manufacturing dan pengalaman proyek supply chain network design
6191,Cahya Gunawan,Primary School Teacher Education,2015,Curriculum Developer,Tokopedia,"Lesson Planning, Classroom Management, Child Psychology",Curriculum Development for Special Needs,TEFL/TESOL,aiesec | debate_club | puma_primary_school_teacher_education,alumni jurusan primary school teacher education berkarir sebagai curriculum developer di tokopedia  ahli dalam lesson planning  classroom management  child psychology
6192,Zara Gunawan,Business Administration,2015,Startup Manager,Telkomsel,"Entrepreneurship, Process Optimization, Business Strategy",Market Feasibility Study,"CAPM, FMVA (Financial Modeling)",pufa_business | moot_court,seorang startup manager lulusan business administration dengan pengalaman di telkomsel dan sertifikasi capm  fmva  financial modeling
6193,Zara Mahendra,Actuarial Science,2021,Insurance Underwriter,Mayora,"Risk Modeling, Financial Math, Probability Theory",Investment Portfolio Modeling,Professional Risk Manager (PRM),fpci | pudc | moot_court,profesional actuarial science dengan spesialisasi risk modeling  financial math  probability theory dan pengalaman proyek investment portfolio modeling
6194,Cahya Permana,Environmental Engineering,2015,Enviromental Planner,Ruangguru,"GIS, EIA (Environmental Impact Assessment), Compliance",Carbon Footprint Analysis,"OSHA 30-Hour General Industry, HSE Training Certificate",pudc,karir di bidang enviromental planner dengan latar belakang pendidikan environmental engineering dan aktif di pudc
6195,Yoga Manullang,Business Administration,2019,Management Consultant,Unilever,"CRM, Leadership, Business Strategy",Startup Business Plan,"FMVA (Financial Modeling), HubSpot Inbound Marketing",puma_business_administration | pufa_business | fpci,profesional business administration dengan spesialisasi crm  leadership  business strategy dan pengalaman proyek startup business plan
6196,Agus Firdaus,Communication,2023,Copywriter,Ruangguru,"Crisis Management, Content Strategy, Video Editing",Press Release Distribution Strategy,HubSpot Content Marketing,pumun | fpci,alumni jurusan communication berkarir sebagai copywriter di ruangguru  ahli dalam crisis management  content strategy  video editing
6197,Bayu Manullang,Law,2016,Regulatory Affairs Specialist,Unilever,"Regulatory Analysis, Dispute Resolution, Legal Writing",Mock Trial Preparation,"Commercial Contract Management, Certified Paralegal (CP)",purtc | fpci | pufa_social_science_and_education,karir di bidang regulatory affairs specialist dengan latar belakang pendidikan law dan aktif di purtc   fpci   pufa social science and education
6198,Imam Wibowo,Visual Communication Design,2020,UX/UI Designer,Telkomsel,"Typography, Figma, Visual Branding",Interactive Web Design,Adobe Certified Professional (ACP),pufa_social_science_and_education,seorang ux ui designer lulusan visual communication design dengan pengalaman di telkomsel dan sertifikasi adobe certified professional  acp
6199,Mega Lestari,International Relations,2020,Foreign Affairs Correspondent,Djarum,"International Law, Negotiation, Public Policy",Diplomatic Protocol Handbook,"International Law and Diplomacy, Public Policy Analysis",pufa_social_science_and_education | fpci | accounting_club,alumni jurusan international relations berkarir sebagai foreign affairs correspondent di djarum  ahli dalam international law  negotiation  public policy
6200,Putri Firdaus,Marketing,2021,Social Media Manager,Mayora,"Google Analytics, SEO/SEM, A/B Testing",Omni-channel Marketing Strategy,Google Ads,pufa_business | pudc,alumni jurusan marketing berkarir sebagai social media manager di mayora  ahli dalam google analytics  seo sem  a b testing
6201,Mega Permana,Visual Communication Design,2022,Web Designer,Ruangguru,"User Research, Figma, Visual Branding",Mobile App Interface Redesign,Design Thinking Certification,pufa_social_science_and_education | aiesec | purtc,profesional visual communication design dengan spesialisasi user research  figma  visual branding dan pengalaman proyek mobile app interface redesign
6202,Joko Firdaus,Financial Engineering,2015,Financial Modeler,Telkomsel,"Data Science, Financial Modeling, Stochastic Calculus",Cryptocurrency Market Analysis,CQF (Quantitative Finance),puma_financial_engineering | debate_club | pufa_business,alumni jurusan financial engineering berkarir sebagai financial modeler di telkomsel  ahli dalam data science  financial modeling  stochastic calculus
6203,Putri Rahman,Visual Communication Design,2019,Motion Graphic Artist,Mayora,"Figma, User Research, Illustration",Marketing Visual Assets,"Google UX Design, Figma UI/UX Essentials",pufa_social_science_and_education | fpci,seorang motion graphic artist lulusan visual communication design dengan pengalaman di mayora dan sertifikasi google ux design  figma ui ux essentials
6204,Bayu Lestari,Law,2018,Litigation Consultant,Mayora,"Dispute Resolution, Litigation, Moot Court",Contract Lifecycle Management,"International Law Fundamentals, Legal Research & Writing Certificate",pudc | debate_club,profesional law dengan spesialisasi dispute resolution  litigation  moot court dan pengalaman proyek contract lifecycle management
6205,Joko Hakim,Law,2022,Litigation Consultant,Traveloka,"Corporate Governance, Regulatory Analysis, Legal Research",Merger & Acquisition Legal Review,"Certified Information Privacy Professional (CIPP), Commercial Contract Management",puma_law,profesional law dengan spesialisasi corporate governance  regulatory analysis  legal research dan pengalaman proyek merger   acquisition legal review
6206,Dewi Nugroho,Electrical Engineering,2021,Electrical Design Engineer,Google Indonesia,"SCADA, PCB Design, Power Generation",PCB Design and Fabrication,Certified Automation Professional (CAP),puma_electrical_engineering | moot_court | debate_club,seorang electrical design engineer lulusan electrical engineering dengan pengalaman di google indonesia dan sertifikasi certified automation professional  cap
6207,Budi Firdaus,Accounting,2020,Forensic Accountant,BCA,"Cost Accounting, Audit, IFRS",Budget Forecasting Model,"Tax Brevet A & B, QuickBooks ProAdvisor",pufa_business | puma_accounting | debate_club,alumni jurusan accounting berkarir sebagai forensic accountant di bca  ahli dalam cost accounting  audit  ifrs
6208,Putri Ramadhan,Environmental Engineering,2019,Hyrdrology Specialist,Djarum,"Compliance, GIS, Water Treatment",Industrial Pollution Control Plan,"NEBOSH International Certificate, HSE Training Certificate",pufa_engineering,alumni jurusan environmental engineering berkarir sebagai hyrdrology specialist di djarum  ahli dalam compliance  gis  water treatment
6209,Imam Permana,Visual Communication Design,2017,Illustrator,Shopee,"Figma, Wireframing, User Research",Mobile App Interface Redesign,"Figma UI/UX Essentials, Design Thinking Certification",puma_visual_communication_design,karir di bidang illustrator dengan latar belakang pendidikan visual communication design dan aktif di puma visual communication design
6210,Vina Wibowo,Business Administration,2019,Operations Manager,Unilever,"Business Strategy, Financial Analysis, Entrepreneurship",Customer Loyalty Program Design,CAPM,puma_business_administration,alumni jurusan business administration berkarir sebagai operations manager di unilever  ahli dalam business strategy  financial analysis  entrepreneurship
6211,Fitri Anggraini,Financial Engineering,2016,Derivatives Trader,Unilever,"Python, Data Science, Financial Modeling",Option Pricing Model,"CQF (Quantitative Finance), Bloomberg Market Concepts",pufa_business | debate_club,alumni jurusan financial engineering berkarir sebagai derivatives trader di unilever  ahli dalam python  data science  financial modeling
6212,Cahya Manullang,Communication,2015,PR Specialist,Edelman,"Public Relations, Copywriting, Crisis Management",Multimedia Production Series,"HubSpot Content Marketing, Meta Certified Professional",puma_communication | pumun | fpci,karir di bidang pr specialist dengan latar belakang pendidikan communication dan aktif di puma communication   pumun   fpci
